hgnc_symbol,uniprotswissprot
AP1S1,P61966
ATP2B2,Q01814
BFSP1,Q12934
C1QB,P02746
CASP7,P55210
CCDC40,Q4G0X9
CD14,P08571
CD163,Q86VB7
CD300A,Q9UGN4
CDA,P32320
COPS3,Q9UNS2
CXCR4,P61073
DCTPP1,Q9H773
DNASE2,O00115
DOCK2,Q92608
FHIT,P49789
FMO5,P49326
HMOX1,P09601
HP1BP3,Q5SSJ5
IARS,P41252
IGF1R,P08069
IL17RB,Q9NRM6
IMP4,Q96G21
JMJD6,Q6NYC1
KLHL36,Q8N4N3
LAMB2,P55268
LETMD1,Q6P1Q0
LRRC1,Q9BTT6
MECR,Q9BV79
MRPL15,Q9P015
MRTO4,Q9UKD2
MS4A6A,Q9H2W1
MSX1,P28360
NDUFS3,O75489
NFE2,Q16621
NME1,P15531
NPIPB15,A6NHN6
NRXN3,Q9HDB5
P4HA1,P13674
PARP16,Q8N5Y8
PAWR,Q96IZ0
PGPEP1,Q9NXJ5
PRC1,O43663
PSMC2,P35998
RAD52,P43351
RIPK2,O43353
SAFB2,Q14151
SLC6A1,P30531
TNFAIP8,O95379
TRIM5,Q9C035
TUBG1,P23258
WDYHV1,Q96HA8
ZNF217,O75362
ZNF516,Q92618
